case_id,user_uuid,kp_position,kp_type,probe_class,question_type,evidence_condition,checkpoint_index,checkpoint_event_index,age_sessions,perturbation_label
memtraceb-8ece194a-kp0000-a56c5-current-present,8ece194a-885c-8e0c-359e-93a97220252c,0,static,static,current,present,5,56,56,
memtraceb-8ece194a-kp0000-a66c6-current-present,8ece194a-885c-8e0c-359e-93a97220252c,0,static,static,current,present,6,66,66,
memtraceb-8ece194a-kp0000-a76c7-current-present,8ece194a-885c-8e0c-359e-93a97220252c,0,static,static,current,present,7,76,76,
memtraceb-8ece194a-kp0013-a8c0-current-present,8ece194a-885c-8e0c-359e-93a97220252c,13,preference,preference,current,present,0,8,8,
memtraceb-8ece194a-kp0013-a18c1-current-present,8ece194a-885c-8e0c-359e-93a97220252c,13,preference,preference,current,present,1,18,18,
memtraceb-8ece194a-kp0013-a27c2-current-present,8ece194a-885c-8e0c-359e-93a97220252c,13,preference,preference,current,present,2,27,27,
memtraceb-8ece194a-kp0013-a37c3-current-present,8ece194a-885c-8e0c-359e-93a97220252c,13,preference,preference,current,present,3,37,37,
memtraceb-8ece194a-kp0013-a47c4-current-present,8ece194a-885c-8e0c-359e-93a97220252c,13,preference,preference,current,present,4,47,47,
memtraceb-8ece194a-kp0013-a56c5-current-present,8ece194a-885c-8e0c-359e-93a97220252c,13,preference,preference,current,present,5,56,56,
memtraceb-8ece194a-kp0013-a66c6-current-present,8ece194a-885c-8e0c-359e-93a97220252c,13,preference,preference,current,present,6,66,66,
memtraceb-8ece194a-kp0013-a76c7-current-present,8ece194a-885c-8e0c-359e-93a97220252c,13,preference,preference,current,present,7,76,76,
memtraceb-8ece194a-kp0083-a5c0-current-present,8ece194a-885c-8e0c-359e-93a97220252c,83,dynamic,dynamic,current,present,0,8,5,item_stale
memtraceb-8ece194a-kp0083-a5c0-historical-present,8ece194a-885c-8e0c-359e-93a97220252c,83,dynamic,dynamic,historical,present,0,8,5,retrieval_error
memtraceb-8ece194a-kp0083-a5c0-trajectory-present,8ece194a-885c-8e0c-359e-93a97220252c,83,dynamic,dynamic,trajectory,present,0,8,5,granularity_error
memtraceb-8ece194a-kp0083-a5c0-current-contradicted,8ece194a-885c-8e0c-359e-93a97220252c,83,dynamic,conflict_distractor,current,contradicted,0,8,5,item_conflict
memtraceb-8ece194a-kp0083-a15c1-current-present,8ece194a-885c-8e0c-359e-93a97220252c,83,dynamic,dynamic,current,present,1,18,15,item_stale
memtraceb-8ece194a-kp0083-a15c1-historical-present,8ece194a-885c-8e0c-359e-93a97220252c,83,dynamic,dynamic,historical,present,1,18,15,retrieval_error
memtraceb-8ece194a-kp0083-a15c1-trajectory-present,8ece194a-885c-8e0c-359e-93a97220252c,83,dynamic,dynamic,trajectory,present,1,18,15,granularity_error
memtraceb-8ece194a-kp0083-a15c1-current-contradicted,8ece194a-885c-8e0c-359e-93a97220252c,83,dynamic,conflict_distractor,current,contradicted,1,18,15,item_conflict
memtraceb-8ece194a-kp0083-a24c2-current-present,8ece194a-885c-8e0c-359e-93a97220252c,83,dynamic,dynamic,current,present,2,27,24,item_stale
memtraceb-8ece194a-kp0083-a24c2-historical-present,8ece194a-885c-8e0c-359e-93a97220252c,83,dynamic,dynamic,historical,present,2,27,24,retrieval_error
memtraceb-8ece194a-kp0083-a24c2-trajectory-present,8ece194a-885c-8e0c-359e-93a97220252c,83,dynamic,dynamic,trajectory,present,2,27,24,granularity_error
memtraceb-8ece194a-kp0083-a24c2-current-contradicted,8ece194a-885c-8e0c-359e-93a97220252c,83,dynamic,conflict_distractor,current,contradicted,2,27,24,item_conflict
memtraceb-8ece194a-kp0083-a34c3-current-present,8ece194a-885c-8e0c-359e-93a97220252c,83,dynamic,dynamic,current,present,3,37,34,item_stale
memtraceb-8ece194a-kp0083-a34c3-historical-present,8ece194a-885c-8e0c-359e-93a97220252c,83,dynamic,dynamic,historical,present,3,37,34,retrieval_error
memtraceb-8ece194a-kp0083-a34c3-trajectory-present,8ece194a-885c-8e0c-359e-93a97220252c,83,dynamic,dynamic,trajectory,present,3,37,34,granularity_error
memtraceb-8ece194a-kp0083-a34c3-current-contradicted,8ece194a-885c-8e0c-359e-93a97220252c,83,dynamic,conflict_distractor,current,contradicted,3,37,34,item_conflict
memtraceb-8ece194a-kp0083-a44c4-current-present,8ece194a-885c-8e0c-359e-93a97220252c,83,dynamic,dynamic,current,present,4,47,44,item_stale
memtraceb-8ece194a-kp0083-a44c4-historical-present,8ece194a-885c-8e0c-359e-93a97220252c,83,dynamic,dynamic,historical,present,4,47,44,retrieval_error
memtraceb-8ece194a-kp0083-a44c4-trajectory-present,8ece194a-885c-8e0c-359e-93a97220252c,83,dynamic,dynamic,trajectory,present,4,47,44,granularity_error
memtraceb-8ece194a-kp0083-a44c4-current-contradicted,8ece194a-885c-8e0c-359e-93a97220252c,83,dynamic,conflict_distractor,current,contradicted,4,47,44,item_conflict
memtraceb-8ece194a-kp0083-a53c5-current-present,8ece194a-885c-8e0c-359e-93a97220252c,83,dynamic,dynamic,current,present,5,56,53,item_stale
memtraceb-8ece194a-kp0083-a53c5-historical-present,8ece194a-885c-8e0c-359e-93a97220252c,83,dynamic,dynamic,historical,present,5,56,53,retrieval_error
memtraceb-8ece194a-kp0083-a53c5-trajectory-present,8ece194a-885c-8e0c-359e-93a97220252c,83,dynamic,dynamic,trajectory,present,5,56,53,granularity_error
memtraceb-8ece194a-kp0083-a53c5-current-contradicted,8ece194a-885c-8e0c-359e-93a97220252c,83,dynamic,conflict_distractor,current,contradicted,5,56,53,item_conflict
memtraceb-8ece194a-kp0083-a63c6-current-present,8ece194a-885c-8e0c-359e-93a97220252c,83,dynamic,dynamic,current,present,6,66,63,item_stale
memtraceb-8ece194a-kp0083-a63c6-historical-present,8ece194a-885c-8e0c-359e-93a97220252c,83,dynamic,dynamic,historical,present,6,66,63,retrieval_error
memtraceb-8ece194a-kp0083-a63c6-trajectory-present,8ece194a-885c-8e0c-359e-93a97220252c,83,dynamic,dynamic,trajectory,present,6,66,63,granularity_error
memtraceb-8ece194a-kp0083-a63c6-current-contradicted,8ece194a-885c-8e0c-359e-93a97220252c,83,dynamic,conflict_distractor,current,contradicted,6,66,63,item_conflict
memtraceb-8ece194a-kp0083-a73c7-current-present,8ece194a-885c-8e0c-359e-93a97220252c,83,dynamic,dynamic,current,present,7,76,73,item_stale
memtraceb-8ece194a-kp0083-a73c7-historical-present,8ece194a-885c-8e0c-359e-93a97220252c,83,dynamic,dynamic,historical,present,7,76,73,retrieval_error
memtraceb-8ece194a-kp0083-a73c7-trajectory-present,8ece194a-885c-8e0c-359e-93a97220252c,83,dynamic,dynamic,trajectory,present,7,76,73,granularity_error
memtraceb-8ece194a-kp0083-a73c7-current-contradicted,8ece194a-885c-8e0c-359e-93a97220252c,83,dynamic,conflict_distractor,current,contradicted,7,76,73,item_conflict
memtraceb-8ece194a-kp0303-a7c3-current-present,8ece194a-885c-8e0c-359e-93a97220252c,303,preference,preference,current,present,3,37,7,
memtraceb-8ece194a-kp0303-a17c4-current-present,8ece194a-885c-8e0c-359e-93a97220252c,303,preference,preference,current,present,4,47,17,
memtraceb-8ece194a-kp0303-a26c5-current-present,8ece194a-885c-8e0c-359e-93a97220252c,303,preference,preference,current,present,5,56,26,
memtraceb-8ece194a-kp0303-a36c6-current-present,8ece194a-885c-8e0c-359e-93a97220252c,303,preference,preference,current,present,6,66,36,
memtraceb-8ece194a-kp0303-a46c7-current-present,8ece194a-885c-8e0c-359e-93a97220252c,303,preference,preference,current,present,7,76,46,
memtraceb-8ece194a-kp0329-a3c3-current-present,8ece194a-885c-8e0c-359e-93a97220252c,329,dynamic,dynamic,current,present,3,37,3,item_stale
memtraceb-8ece194a-kp0329-a3c3-historical-present,8ece194a-885c-8e0c-359e-93a97220252c,329,dynamic,dynamic,historical,present,3,37,3,retrieval_error
memtraceb-8ece194a-kp0329-a3c3-trajectory-present,8ece194a-885c-8e0c-359e-93a97220252c,329,dynamic,dynamic,trajectory,present,3,37,3,granularity_error
memtraceb-8ece194a-kp0329-a3c3-current-contradicted,8ece194a-885c-8e0c-359e-93a97220252c,329,dynamic,conflict_distractor,current,contradicted,3,37,3,item_conflict
memtraceb-8ece194a-kp0329-a13c4-current-present,8ece194a-885c-8e0c-359e-93a97220252c,329,dynamic,dynamic,current,present,4,47,13,item_stale
memtraceb-8ece194a-kp0329-a13c4-historical-present,8ece194a-885c-8e0c-359e-93a97220252c,329,dynamic,dynamic,historical,present,4,47,13,retrieval_error
memtraceb-8ece194a-kp0329-a13c4-trajectory-present,8ece194a-885c-8e0c-359e-93a97220252c,329,dynamic,dynamic,trajectory,present,4,47,13,granularity_error
memtraceb-8ece194a-kp0329-a13c4-current-contradicted,8ece194a-885c-8e0c-359e-93a97220252c,329,dynamic,conflict_distractor,current,contradicted,4,47,13,item_conflict
memtraceb-8ece194a-kp0329-a22c5-current-present,8ece194a-885c-8e0c-359e-93a97220252c,329,dynamic,dynamic,current,present,5,56,22,item_stale
memtraceb-8ece194a-kp0329-a22c5-historical-present,8ece194a-885c-8e0c-359e-93a97220252c,329,dynamic,dynamic,historical,present,5,56,22,retrieval_error
memtraceb-8ece194a-kp0329-a22c5-trajectory-present,8ece194a-885c-8e0c-359e-93a97220252c,329,dynamic,dynamic,trajectory,present,5,56,22,granularity_error
memtraceb-8ece194a-kp0329-a22c5-current-contradicted,8ece194a-885c-8e0c-359e-93a97220252c,329,dynamic,conflict_distractor,current,contradicted,5,56,22,item_conflict
memtraceb-8ece194a-kp0329-a32c6-current-present,8ece194a-885c-8e0c-359e-93a97220252c,329,dynamic,dynamic,current,present,6,66,32,item_stale
memtraceb-8ece194a-kp0329-a32c6-historical-present,8ece194a-885c-8e0c-359e-93a97220252c,329,dynamic,dynamic,historical,present,6,66,32,retrieval_error
memtraceb-8ece194a-kp0329-a32c6-trajectory-present,8ece194a-885c-8e0c-359e-93a97220252c,329,dynamic,dynamic,trajectory,present,6,66,32,granularity_error
memtraceb-8ece194a-kp0329-a32c6-current-contradicted,8ece194a-885c-8e0c-359e-93a97220252c,329,dynamic,conflict_distractor,current,contradicted,6,66,32,item_conflict
memtraceb-8ece194a-kp0329-a42c7-current-present,8ece194a-885c-8e0c-359e-93a97220252c,329,dynamic,dynamic,current,present,7,76,42,item_stale
memtraceb-8ece194a-kp0329-a42c7-historical-present,8ece194a-885c-8e0c-359e-93a97220252c,329,dynamic,dynamic,historical,present,7,76,42,retrieval_error
memtraceb-8ece194a-kp0329-a42c7-trajectory-present,8ece194a-885c-8e0c-359e-93a97220252c,329,dynamic,dynamic,trajectory,present,7,76,42,granularity_error
memtraceb-8ece194a-kp0329-a42c7-current-contradicted,8ece194a-885c-8e0c-359e-93a97220252c,329,dynamic,conflict_distractor,current,contradicted,7,76,42,item_conflict
